Aircraft: Type,Airport: Name,Altitude bin,Aircraft: Make/Model,Wildlife: Number struck,Wildlife: Number Struck Actual,FlightDate,Effect: Indicated Damage,Aircraft: Number of engines?,Aircraft: Airline/Operator,Origin State,When: Phase of flight,Wildlife: Size,Conditions: Sky,Wildlife: Species,Cost: Total $,Feet above ground,Number of people injured,Is Aircraft Large?
Airplane,LAGUARDIA NY,> 1000 ft,B-737-400,Over 100,859,11/23/00 0:00,Caused damage,2,US AIRWAYS*,New York,Climb,Medium,No Cloud,Unknown bird - medium,"30,736","1,500",0,Yes
Airplane,DALLAS/FORT WORTH INTL ARPT,< 1000 ft,MD-80,Over 100,424,7/25/01 0:00,Caused damage,2,AMERICAN AIRLINES,Texas,Landing Roll,Small,Some Cloud,Rock pigeon,0,0,0,No
Airplane,LAKEFRONT AIRPORT,< 1000 ft,C-500,Over 100,261,9/14/01 0:00,No damage,2,BUSINESS,Louisiana,Approach,Small,No Cloud,European starling,0,50,0,No
Airplane,SEATTLE-TACOMA INTL,< 1000 ft,B-737-400,Over 100,806,09-05-2002,No damage,2,ALASKA AIRLINES,Washington,Climb,Small,Some Cloud,European starling,0,50,0,Yes
Airplane,NORFOLK INTL,< 1000 ft,CL-RJ100/200,Over 100,942,6/23/03 0:00,No damage,2,COMAIR AIRLINES,Virginia,Approach,Small,No Cloud,European starling,0,50,0,No
Airplane,NEW CASTLE COUNTY,< 1000 ft,LEARJET-25,Over 100,227,8/17/03 0:00,Caused damage,2,BUSINESS,Delaware,Climb,Small,No Cloud,European starling,"14,81,711",150,0,No
Airplane,WASHINGTON DULLES INTL ARPT,< 1000 ft,A-320,Over 100,320,03-01-2006,Caused damage,2,UNITED AIRLINES,DC,Approach,Small,Some Cloud,European starling,"14,83,141",100,0,No
Airplane,ATLANTA INTL,< 1000 ft,DC-9-30,2 to 10,9,01-06-2000,No damage,2,AIRTRAN AIRWAYS,Georgia,Take-off run,Small,Some Cloud,Rock pigeon,0,0,0,No
Airplane,ORLANDO SANFORD INTL AIRPORT,< 1000 ft,A-330,2 to 10,4,01-07-2000,No damage,2,AIRTOURS INTL,Florida,Landing Roll,Small,Some Cloud,Unknown bird - small,0,0,0,No
Airplane,ONTARIO INTL ARPT,< 1000 ft,A-320,2 to 10,3,01-08-2000,No damage,2,AMERICA WEST AIRLINES,California,Approach,Small,Some Cloud,Rock pigeon,0,200,0,No
Airplane,CHICAGO O'HARE INTL ARPT,> 1000 ft,FOKKER F100,2 to 10,9,1/20/00 0:00,Caused damage,2,AMERICAN AIRLINES,Illinois,Approach,Large,No Cloud,Canada goose,0,"1,700",0,No
Airplane,GROTON-NEW LONDON AR,< 1000 ft,C-421,2 to 10,2,1/30/00 0:00,No damage,2,BUSINESS,Connecticut,Landing Roll,Small,Overcast,Unknown bird - small,0,0,0,No
Airplane,SPIRIT OF ST LOUIS,> 1000 ft,C-560,2 to 10,2,1/30/00 0:00,No damage,2,EXECUTIVE JET AVIATION,Missouri,Approach,Small,Overcast,Unknown bird - small,0,"1,800",0,No
Airplane,THEODORE FRANCIS GREEN STATE,< 1000 ft,B-737-200,2 to 10,5,1/30/00 0:00,No damage,2,US AIRWAYS*,Rhode Island,Approach,Small,No Cloud,European starling,0,50,0,Yes
Airplane,KANSAS CITY INTL,< 1000 ft,MD-80,2 to 10,5,02-01-2000,No damage,2,TRANS WORLD AIRLINES,Missouri,Approach,Large,Some Cloud,Snow goose,0,500,0,No
Airplane,LIHUE ARPT,< 1000 ft,DC-9-50,2 to 10,9,02-11-2000,No damage,2,HAWAIIAN AIR,Hawaii,Take-off run,Small,No Cloud,Black-headed munia,0,0,0,No
Airplane,PHOENIX SKY HARBOR,< 1000 ft,B-737,2 to 10,9,02-12-2000,No damage,2,AMERICA WEST AIRLINES,Arizona,Landing Roll,Small,Overcast,Rock pigeon,0,0,0,Yes
Airplane,NASHVILLE INTL,< 1000 ft,B-737-400,2 to 10,5,2/18/00 0:00,No damage,2,US AIRWAYS*,Tennessee,Climb,Small,Some Cloud,European starling,0,800,0,Yes
Airplane,JIM HAMILTON L B OWENS ARPT,< 1000 ft,C-560,2 to 10,6,2/23/00 0:00,Caused damage,2,BUSINESS,South Carolina,Climb,Small,Some Cloud,Rock pigeon,0,500,0,No
Airplane,CHICAGO O'HARE INTL ARPT,> 1000 ft,B-737-300,2 to 10,7,2/25/00 0:00,No damage,2,UNITED AIRLINES,Illinois,Climb,Medium,Overcast,Unknown bird - medium,0,"5,000",0,Yes
Airplane,WASHINGTON DULLES INTL ARPT,> 1000 ft,B-737-200,2 to 10,7,2/29/00 0:00,No damage,2,DELTA AIR LINES,DC,Climb,Medium,No Cloud,Ring-billed gull,0,"1,500",0,Yes
Airplane,SOUTHWEST FLORIDA INTL ARPT,< 1000 ft,B-737-400,2 to 10,4,2/29/00 0:00,No damage,2,AIR TRANSAT,Florida,Landing Roll,Large,Some Cloud,Sandhill crane,0,0,0,Yes
Airplane,ABERDEEN REGIONAL AR,> 1000 ft,SAAB-340,2 to 10,8,03-04-2000,No damage,2,MESABA AIRLINES,South Dakota,Climb,Small,Some Cloud,Unknown bird - small,0,"2,000",0,No
Airplane,NEWARK LIBERTY INTL ARPT,< 1000 ft,MD-82,2 to 10,5,03-06-2000,No damage,2,CONTINENTAL AIRLINES,New Jersey,Landing Roll,Small,No Cloud,Unknown bird - small,0,0,0,No
Airplane,ASPEN-PITKIN CO/SARD,< 1000 ft,HAWKER 800,2 to 10,3,03-06-2000,No damage,2,EXECUTIVE JET AVIATION,Colorado,Approach,Small,No Cloud,Unknown bird - small,"8,600",20,0,No
Airplane,ROCHESTER INTL,< 1000 ft,FOKKER F28 MK 1000,2 to 10,4,03-06-2000,No damage,2,AMERICAN AIRLINES,Minnesota,Climb,Small,No Cloud,Unknown bird - small,0,200,0,No
Airplane,MINNEAPOLIS-ST PAUL INTL,< 1000 ft,B-757-200,2 to 10,4,03-07-2000,No damage,2,NORTHWEST AIRLINES,Minnesota,Approach,Small,Overcast,Unknown bird - small,0,75,0,Yes
Airplane,PUEBLO MEMORIAL ARPT,< 1000 ft,HAWKER 800,2 to 10,5,03-11-2000,No damage,2,BUSINESS,Colorado,Approach,Small,No Cloud,Western meadowlark,0,10,0,No
Airplane,WESTCHESTER COUNTY ARPT,< 1000 ft,EMB-135,2 to 10,5,3/13/00 0:00,No damage,2,CONTINENTAL AIRLINES,New York,Climb,Medium,No Cloud,Ring-billed gull,0,10,0,No
Airplane,BIRMINGHAM-SHUTTLESWORTH INTL,> 1000 ft,DC-9-40,2 to 10,6,3/13/00 0:00,No damage,2,ABX AIR,Alabama,Descent,Small,No Cloud,Unknown bird - small,0,"5,000",0,No
Airplane,ATLANTA INTL,< 1000 ft,DC-9-30,2 to 10,8,3/14/00 0:00,No damage,2,AIRTRAN AIRWAYS,Georgia,Approach,Medium,No Cloud,Mallard,0,"1,000",0,No
Airplane,LAGUARDIA NY,> 1000 ft,B-727-200,2 to 10,10,3/15/00 0:00,Caused damage,3,DELTA AIR LINES,New York,Approach,Medium,No Cloud,Unknown bird - medium,0,"1,300",0,No
Airplane,ORLANDO INTL,< 1000 ft,SAAB-340,2 to 10,9,3/18/00 0:00,No damage,2,AMERICAN EAGLE AIRLINES,Florida,Take-off run,Medium,Some Cloud,Ring-billed gull,0,0,0,No
Airplane,MYRTLE BEACH INTL,< 1000 ft,B-737,2 to 10,8,3/22/00 0:00,Caused damage,2,US AIRWAYS*,South Carolina,Landing Roll,Large,Some Cloud,Turkey vulture,0,0,0,Yes
Airplane,MINNEAPOLIS-ST PAUL INTL,< 1000 ft,DC-9-10,2 to 10,5,3/23/00 0:00,Caused damage,2,NORTHWEST AIRLINES,Minnesota,Climb,Large,Overcast,Tundra swan,"35,146",800,0,No
Airplane,LAFAYETTE REGIONAL (LA),< 1000 ft,SAAB-340,2 to 10,3,3/23/00 0:00,No damage,2,AMERICAN EAGLE AIRLINES,Louisiana,Climb,Small,No Cloud,Unknown bird - small,0,"1,000",0,No
Airplane,CLEVELAND-HOPKINS INTL ARPT,> 1000 ft,EMB-145,2 to 10,6,3/25/00 0:00,No damage,2,EXPRESSJET (CONTINENTAL EXPRS),Ohio,Approach,Small,No Cloud,Unknown bird - small,0,"1,500",0,No
Airplane,WASHINGTON DULLES INTL ARPT,< 1000 ft,B-737-300,2 to 10,10,04-01-2000,No damage,2,US AIRWAYS*,DC,Approach,Small,No Cloud,Unknown bird - small,0,"1,000",0,Yes
Airplane,SAN FRANCISCO INTL ARPT,< 1000 ft,B-747-1/200,2 to 10,9,04-02-2000,No damage,4,NORTHWEST AIRLINES,California,Take-off run,Small,No Cloud,Unknown bird - small,0,0,0,No
Airplane,CENTRAL WISCONSIN ARPT,< 1000 ft,SAAB-340,2 to 10,2,04-04-2000,No damage,2,MESABA AIRLINES,Wisconsin,Approach,Small,Some Cloud,Unknown bird - small,0,50,0,No
Airplane,DETROIT METRO WAYNE COUNTY ARPT,< 1000 ft,DC-9,2 to 10,4,04-08-2000,Caused damage,2,US AIRWAYS*,Michigan,Climb,Medium,Some Cloud,Unknown bird - medium,0,100,0,No
Airplane,MYRTLE BEACH INTL,< 1000 ft,DC-9,2 to 10,10,04-09-2000,No damage,2,AIRTRAN AIRWAYS,South Carolina,Climb,Small,No Cloud,Unknown bird - small,0,100,0,No
Airplane,SAN FRANCISCO INTL ARPT,< 1000 ft,B-737-500,2 to 10,10,04-12-2000,No damage,2,UNITED AIRLINES,California,Approach,Small,Some Cloud,Killdeer,"1,336",50,0,Yes
Airplane,TOLEDO EXPRESS ARPT,< 1000 ft,CL-RJ100/200,2 to 10,3,4/13/00 0:00,Caused damage,2,COMAIR AIRLINES,Ohio,Landing Roll,Large,Some Cloud,Canada goose,"10,691",0,0,No
Airplane,METRO OAKLAND INTL,< 1000 ft,B-737-700,2 to 10,2,4/16/00 0:00,No damage,2,ALOHA AIRLINES,California,Landing Roll,Small,Some Cloud,Western sandpiper,"1,069",0,0,Yes
Airplane,BIRMINGHAM-SHUTTLESWORTH INTL,< 1000 ft,B-757-200,2 to 10,2,4/21/00 0:00,No damage,2,DELTA AIR LINES,Alabama,Approach,Small,No Cloud,Unknown bird - small,0,500,0,Yes
Airplane,BEVERLY MUNICIPAL ARPT,< 1000 ft,C-560,2 to 10,8,4/25/00 0:00,No damage,2,BUSINESS,Massachusetts,Take-off run,Large,Some Cloud,Wild turkey,0,0,0,No
Airplane,TED STEVENS ANCHORAGE INTL,> 1000 ft,B-747-400,2 to 10,8,4/26/00 0:00,Caused damage,4,ATLAS AIR,Alaska,Descent,Large,No Cloud,Canada goose,0,"3,500",0,No
Airplane,CHARLOTTE/DOUGLAS INTL ARPT,< 1000 ft,FOKKER F100,2 to 10,6,4/28/00 0:00,No damage,2,US AIRWAYS*,North Carolina,Approach,Small,Overcast,Unknown bird - small,0,"1,000",0,No
Airplane,TED STEVENS ANCHORAGE INTL,< 1000 ft,B-757-200,2 to 10,3,4/29/00 0:00,No damage,2,DELTA AIR LINES,Alaska,Approach,Small,Overcast,Lapland longspur,0,30,0,Yes
Airplane,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,> 1000 ft,CL-RJ100/200,2 to 10,10,4/30/00 0:00,No damage,2,COMAIR AIRLINES,Kentucky,Approach,Small,No Cloud,Unknown bird - small,0,"2,000",0,No
Airplane,GREATER PEORIA REGIONAL ARPT,> 1000 ft,BE-58  BARON,2 to 10,2,05-03-2000,No damage,2,PRIVATELY OWNED,Illinois,Approach,Small,No Cloud,Unknown bird - small,0,"1,800",0,No
Airplane,INDIANAPOLIS INTL,< 1000 ft,DC-9-30,2 to 10,5,05-03-2000,No damage,2,US AIRWAYS*,Indiana,Landing Roll,Small,No Cloud,European starling,0,0,0,No
Airplane,SAN FRANCISCO INTL ARPT,< 1000 ft,B-737-500,2 to 10,7,05-04-2000,No damage,2,UNITED AIRLINES,California,Landing Roll,Small,Some Cloud,Unknown bird - small,0,0,0,Yes
Airplane,LOUISVILLE INTL ARPT,< 1000 ft,B-767-300,2 to 10,5,05-09-2000,No damage,2,UPS AIRLINES,Kentucky,Approach,Small,Overcast,Unknown bird - small,0,75,0,Yes
Airplane,PORTLAND INTL (OR),< 1000 ft,DC-10,2 to 10,3,05-10-2000,No damage,3,FEDEX EXPRESS,Oregon,Landing Roll,Medium,Overcast,Mallard,0,0,0,No
Airplane,STEWART INTL AIRPORT,< 1000 ft,FOKKER F100,2 to 10,4,5/13/00 0:00,No damage,2,AMERICAN AIRLINES,New York,Climb,Medium,Some Cloud,Herring gull,0,50,0,No
Airplane,LOS ANGELES INTL,< 1000 ft,SAAB-340,2 to 10,7,5/15/00 0:00,Caused damage,2,AMERICAN EAGLE AIRLINES,California,Take-off run,Small,Some Cloud,Rock pigeon,"8,01,820",0,0,No
Airplane,BURKE LAKEFRONT,< 1000 ft,PA-31 NAVAJO,2 to 10,10,5/19/00 0:00,No damage,2,BUSINESS,Ohio,Landing Roll,Medium,Overcast,Herring gull,0,0,0,No
Airplane,PHILADELPHIA INTL,< 1000 ft,FOKKER F100,2 to 10,3,5/23/00 0:00,No damage,2,AMERICAN AIRLINES,Pennsylvania,Approach,Medium,Overcast,Unknown bird - medium,0,850,0,No
Airplane,METRO OAKLAND INTL,< 1000 ft,B-737-300,2 to 10,7,5/28/00 0:00,No damage,2,UNITED AIRLINES,California,Climb,Small,Some Cloud,Rock pigeon,0,30,0,Yes
Airplane,CAPITAL CITY (MI),< 1000 ft,SAAB-340,2 to 10,7,5/29/00 0:00,No damage,2,CHAUTAUQUA AIRLINES,Michigan,Take-off run,Small,Some Cloud,Unknown bird - small,0,0,0,No
Airplane,PEASE INTL TRADEPORT,< 1000 ft,C-172,2 to 10,3,5/30/00 0:00,Caused damage,1,PRIVATELY OWNED,New Hampshire,Climb,Medium,Some Cloud,American crow,0,"1,000",0,No
Airplane,SAVANNAH INTL,< 1000 ft,EMB-145,2 to 10,2,06-01-2000,No damage,2,EXPRESSJET (CONTINENTAL EXPRS),Georgia,Take-off run,Small,Overcast,Unknown bird - small,0,0,0,No
Airplane,PHILADELPHIA INTL,< 1000 ft,A-320,2 to 10,10,06-03-2000,No damage,2,AMERICA WEST AIRLINES,Pennsylvania,Approach,Small,No Cloud,Unknown bird - small,0,500,0,No
Airplane,WASHINGTON DULLES INTL ARPT,< 1000 ft,BA-31 JETSTR,2 to 10,9,06-06-2000,No damage,2,ATLANTIC COAST AIRLINES,DC,Approach,Small,No Cloud,Unknown bird - small,0,150,0,No
Airplane,BURKE LAKEFRONT,< 1000 ft,LEARJET-35,2 to 10,3,06-06-2000,No damage,2,BUSINESS,Ohio,Landing Roll,Medium,Some Cloud,Ring-billed gull,0,0,0,No
Airplane,HILO INTL ARPT,< 1000 ft,DC-9-50,2 to 10,10,06-07-2000,No damage,2,HAWAIIAN AIR,Hawaii,Landing Roll,Small,Some Cloud,Common myna,0,0,0,No
Airplane,FORT LAUDERDALE/HOLLYWOOD INTL,< 1000 ft,MD-88,2 to 10,5,06-08-2000,No damage,2,DELTA AIR LINES,Florida,Climb,Small,Some Cloud,Unknown bird - small,0,10,0,No
Airplane,DALLAS LOVE FIELD ARPT,< 1000 ft,B-737,2 to 10,2,06-09-2000,No damage,2,SOUTHWEST AIRLINES,Texas,Landing Roll,Small,Overcast,Unknown bird - small,0,0,0,Yes
Airplane,LOGAN INTL,< 1000 ft,B-737-300,2 to 10,4,06-11-2000,Caused damage,2,US AIRWAYS*,Massachusetts,Climb,Large,Overcast,Unknown bird - large,"2,11,146",800,0,Yes
Airplane,DENVER INTL AIRPORT,< 1000 ft,BE-1900,2 to 10,9,06-12-2000,No damage,2,GREAT LAKES AIRLINES,Colorado,Approach,Small,No Cloud,Unknown bird - small,0,500,0,No
Airplane,SAVANNAH INTL,< 1000 ft,B-757-200,2 to 10,8,6/14/00 0:00,No damage,2,DELTA AIR LINES,Georgia,Take-off run,Small,No Cloud,Unknown bird - small,0,0,0,Yes
Airplane,KALAMAZOO/BATTLE CREEK INTL,< 1000 ft,CL-RJ100/200,2 to 10,7,6/15/00 0:00,No damage,2,COMAIR AIRLINES,Michigan,Approach,Small,Some Cloud,European starling,0,40,0,No
Airplane,NORFOLK INTL,< 1000 ft,IAI-1124,2 to 10,9,6/16/00 0:00,No damage,2,UNKNOWN,Virginia,Take-off run,Medium,Some Cloud,Unknown bird - medium,0,0,0,No
Airplane,GERALD R FORD INTL,< 1000 ft,DC-9-40,2 to 10,5,6/20/00 0:00,No damage,2,NORTHWEST AIRLINES,Michigan,Landing Roll,Small,Overcast,Red-winged blackbird,0,0,0,No
Airplane,INDIANAPOLIS INTL,< 1000 ft,B-757-200,2 to 10,2,6/21/00 0:00,No damage,2,AMERICA WEST AIRLINES,Indiana,Landing Roll,Small,Some Cloud,American kestrel,0,0,0,Yes
Airplane,FORT SMITH MUNICIPAL ARPT,< 1000 ft,C-172,2 to 10,10,6/25/00 0:00,No damage,1,BUSINESS,Arkansas,Approach,Small,No Cloud,Unknown bird - small,0,20,0,No
Airplane,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,< 1000 ft,BE-1900,2 to 10,10,6/25/00 0:00,No damage,2,EXPRESSJET (CONTINENTAL EXPRS),Kentucky,Landing Roll,Small,Some Cloud,European starling,0,0,0,No
Airplane,MCCARREN INTL,> 1000 ft,B-727,2 to 10,8,6/26/00 0:00,No damage,3,ATA AIRLINES,Nevada,Climb,Medium,Overcast,Unknown bird - medium,0,"5,100",0,No
Airplane,ATLANTA INTL,< 1000 ft,BA-31 JETSTR,2 to 10,5,6/27/00 0:00,Caused damage,2,BUSINESS,Georgia,Landing Roll,Medium,Some Cloud,Unknown bird - medium,"40,091",0,0,No
Airplane,HESLER-NOBLE FIELD ARPT,< 1000 ft,LEARJET-31,2 to 10,3,6/28/00 0:00,Caused damage,2,BUSINESS,Mississippi,Climb,Medium,No Cloud,Unknown bird - medium,0,100,0,No
Airplane,CHICAGO O'HARE INTL ARPT,< 1000 ft,CL-RJ100/200,2 to 10,5,6/29/00 0:00,No damage,2,AIR WISCONSIN AIRLINES,Illinois,Take-off run,Small,No Cloud,Unknown bird - small,0,0,0,No
Airplane,SOUTHWEST FLORIDA INTL ARPT,< 1000 ft,C-402,2 to 10,6,6/30/00 0:00,No damage,2,CAPE AIR,Florida,Take-off run,Small,Some Cloud,Killdeer,0,0,0,No
Airplane,PENSACOLA REGIONAL,< 1000 ft,SHORTS SC7,2 to 10,5,07-06-2000,No damage,2,UNKNOWN,Florida,Climb,Small,No Cloud,Unknown bird - small,0,20,0,No
Airplane,PHILADELPHIA INTL,< 1000 ft,MD-88,2 to 10,4,07-07-2000,No damage,2,DELTA AIR LINES,Pennsylvania,Approach,Small,No Cloud,Unknown bird - small,0,100,0,No
Airplane,BALTIMORE WASH INTL,< 1000 ft,B-757-200,2 to 10,6,07-07-2000,No damage,2,UNITED AIRLINES,Maryland,Climb,Small,Some Cloud,Mourning dove,0,100,0,Yes
Airplane,SAN FRANCISCO INTL ARPT,< 1000 ft,B-737-800,2 to 10,3,07-10-2000,No damage,2,CONTINENTAL AIRLINES,California,Climb,Small,No Cloud,Rock pigeon,0,10,0,Yes
Airplane,WASHINGTON DULLES INTL ARPT,< 1000 ft,A-319,2 to 10,2,07-10-2000,No damage,2,UNITED AIRLINES,DC,Landing Roll,Medium,No Cloud,Unknown bird - medium,0,0,0,No
Airplane,LAURENCE G HANSCOM,< 1000 ft,CITATION II,2 to 10,9,07-10-2000,No damage,2,BUSINESS,Massachusetts,Landing Roll,Small,Some Cloud,Unknown bird - small,334,0,0,No
Airplane,PANAMA CITY - BAY COUNTY INTL,< 1000 ft,ATR-72,2 to 10,9,07-11-2000,No damage,2,ATLANTIC SOUTHEAST,Florida,Landing Roll,Small,Some Cloud,Mourning dove,0,0,0,No
Airplane,BIRMINGHAM-SHUTTLESWORTH INTL,< 1000 ft,B-737-300,2 to 10,3,07-12-2000,No damage,2,SOUTHWEST AIRLINES,Alabama,Landing Roll,Medium,Some Cloud,Unknown bird - medium,0,0,0,Yes
Airplane,PANAMA CITY - BAY COUNTY INTL,< 1000 ft,ATR-72,2 to 10,6,7/15/00 0:00,No damage,2,ATLANTIC SOUTHEAST,Florida,Landing Roll,Small,No Cloud,Mourning dove,0,0,0,No
Airplane,OXNARD ARPT,< 1000 ft,C-172,2 to 10,4,7/17/00 0:00,No damage,1,PRIVATELY OWNED,California,Approach,Small,No Cloud,Unknown bird - small,0,100,0,No
Airplane,PORTLAND INTL (OR),< 1000 ft,B-737-500,2 to 10,7,7/18/00 0:00,No damage,2,UNITED AIRLINES,Oregon,Landing Roll,Medium,Overcast,American crow,0,0,0,Yes
Airplane,MORRISTOWN MUNICIPAL ARPT,< 1000 ft,DA-20 FALCON,2 to 10,3,7/19/00 0:00,No damage,2,BUSINESS,New Jersey,Take-off run,Small,Some Cloud,European starling,0,0,0,No
Airplane,LOUISVILLE INTL ARPT,< 1000 ft,B-737-200,2 to 10,2,7/20/00 0:00,No damage,2,US AIRWAYS*,Kentucky,Climb,Medium,No Cloud,Unknown bird - medium,0,20,0,Yes
Airplane,LOUISVILLE INTL ARPT,< 1000 ft,B-737-200,2 to 10,4,7/21/00 0:00,No damage,2,US AIRWAYS*,Kentucky,Landing Roll,Small,Overcast,Mourning dove,0,0,0,Yes
Airplane,DALLAS/FORT WORTH INTL ARPT,< 1000 ft,SAAB-340,2 to 10,4,7/21/00 0:00,No damage,2,AMERICAN EAGLE AIRLINES,Texas,Take-off run,Small,Some Cloud,Western meadowlark,0,0,0,No
Airplane,PANAMA CITY - BAY COUNTY INTL,< 1000 ft,ATR-72,2 to 10,6,7/22/00 0:00,No damage,2,ATLANTIC SOUTHEAST,Florida,Take-off run,Small,Some Cloud,Mourning dove,0,0,0,No
Airplane,TRENTON MERCER ARPT,< 1000 ft,BE-400 BJET,2 to 10,8,7/22/00 0:00,No damage,2,BUSINESS,New Jersey,Climb,Small,No Cloud,European starling,0,350,0,No
Airplane,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,< 1000 ft,CL-RJ100/200,2 to 10,8,7/23/00 0:00,No damage,2,COMAIR AIRLINES,Kentucky,Take-off run,Small,No Cloud,Eastern meadowlark,0,0,0,No
Airplane,PORTLAND INTL (OR),< 1000 ft,C-402,2 to 10,7,7/24/00 0:00,No damage,2,AMERIFLIGHT,Oregon,Approach,Small,No Cloud,European starling,0,200,0,No
Airplane,PANAMA CITY - BAY COUNTY INTL,< 1000 ft,SAAB-340,2 to 10,9,7/28/00 0:00,No damage,2,PINNACLE,Florida,Climb,Small,Some Cloud,Mourning dove,0,50,0,No
Airplane,TETERBORO AIRPORT,< 1000 ft,DA-2000,2 to 10,5,7/28/00 0:00,No damage,2,BUSINESS,New Jersey,Take-off run,Small,Overcast,European starling,0,0,0,No
Airplane,SANFORD REGIONAL ARPT,< 1000 ft,HAWKER-SDLY HS125,2 to 10,4,7/28/00 0:00,No damage,2,BUSINESS,Maine,Approach,Small,Some Cloud,Unknown bird - small,0,50,0,No
Airplane,PANAMA CITY - BAY COUNTY INTL,< 1000 ft,C-560,2 to 10,8,7/30/00 0:00,No damage,2,BUSINESS,Florida,Landing Roll,Small,Some Cloud,Mourning dove,0,0,0,No
Airplane,NEWARK LIBERTY INTL ARPT,< 1000 ft,A-300,2 to 10,9,08-04-2000,No damage,2,AMERICAN AIRLINES,New Jersey,Landing Roll,Medium,No Cloud,Mallard,0,0,0,No
Airplane,DALLAS/FORT WORTH INTL ARPT,< 1000 ft,SAAB-340,2 to 10,10,08-05-2000,No damage,2,AMERICAN EAGLE AIRLINES,Texas,Landing Roll,Small,No Cloud,Mourning dove,0,0,0,No
Airplane,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,< 1000 ft,B-767,2 to 10,7,08-06-2000,No damage,2,DELTA AIR LINES,Kentucky,Approach,Small,Overcast,Mourning dove,0,100,0,Yes
Airplane,MEMPHIS INTL,< 1000 ft,B-737-300,2 to 10,9,08-06-2000,Caused damage,2,UNITED AIRLINES,Tennessee,Take-off run,Small,Some Cloud,Rock pigeon,0,0,0,Yes
Airplane,GREATER ROCHESTER INTL,< 1000 ft,A-319,2 to 10,6,08-06-2000,No damage,2,AMERICAN AIRLINES,New York,Take-off run,Small,Overcast,Upland sandpiper,0,0,0,No
Airplane,BALTIMORE WASH INTL,< 1000 ft,B-737-300,2 to 10,6,08-06-2000,No damage,2,US AIRWAYS*,Maryland,Landing Roll,Small,Overcast,Unknown bird - small,0,0,0,Yes
Airplane,PANAMA CITY - BAY COUNTY INTL,< 1000 ft,SAAB-340,2 to 10,10,08-08-2000,Caused damage,2,PINNACLE,Florida,Take-off run,Small,No Cloud,Mourning dove,0,0,0,No
Airplane,BIRMINGHAM-SHUTTLESWORTH INTL,< 1000 ft,FOKKER F100,2 to 10,7,08-08-2000,No damage,2,US AIRWAYS*,Alabama,Landing Roll,Medium,No Cloud,American crow,0,0,0,No
Airplane,BIRMINGHAM-SHUTTLESWORTH INTL,< 1000 ft,B-737-300,2 to 10,4,08-09-2000,No damage,2,SOUTHWEST AIRLINES,Alabama,Approach,Medium,Some Cloud,Unknown bird - medium,0,100,0,Yes
Airplane,SAINT HUBERT,< 1000 ft,HAWKER 1000,2 to 10,7,08-10-2000,No damage,2,EXECUTIVE JET AVIATION,Quebec,Landing Roll,Medium,No Cloud,Unknown bird - medium,0,0,0,No
Airplane,RALEIGH-DURHAM INTL,< 1000 ft,B-727-200,2 to 10,10,08-10-2000,No damage,3,AMERICAN AIRLINES,North Carolina,Take-off run,Large,Some Cloud,Canada goose,0,0,0,No
Airplane,DUPAGE AIRPORT,< 1000 ft,C-172,2 to 10,5,08-12-2000,No damage,1,BUSINESS,Illinois,Climb,Small,No Cloud,Unknown bird - small,0,150,0,No
Airplane,DUPAGE AIRPORT,< 1000 ft,PA-28,2 to 10,6,08-12-2000,No damage,1,PRIVATELY OWNED,Illinois,Approach,Small,Some Cloud,Unknown bird - small,0,100,0,No
Airplane,DALLAS LOVE FIELD ARPT,> 1000 ft,CL-RJ100/200,2 to 10,5,8/13/00 0:00,No damage,2,ATLANTIC SOUTHEAST,Texas,Approach,Small,No Cloud,Unknown bird - small,0,"2,500",0,No
Airplane,ROANOKE REGIONAL,< 1000 ft,BE-23 SUNDOWNER,2 to 10,10,8/14/00 0:00,No damage,1,BUSINESS,Virginia,Landing Roll,Small,No Cloud,Mourning dove,0,0,0,No
Airplane,LOUISVILLE INTL ARPT,< 1000 ft,B-737-300,2 to 10,10,8/16/00 0:00,No damage,2,US AIRWAYS*,Kentucky,Landing Roll,Small,No Cloud,Mourning dove,0,0,0,Yes
Airplane,EL PASO INTL ARPT,< 1000 ft,B-737-300,2 to 10,5,8/18/00 0:00,No damage,2,SOUTHWEST AIRLINES,Texas,Approach,Small,Some Cloud,Unknown bird - small,0,100,0,Yes
Airplane,NEWARK LIBERTY INTL ARPT,< 1000 ft,B-737-500,2 to 10,7,8/19/00 0:00,No damage,2,CONTINENTAL AIRLINES,New Jersey,Approach,Small,Some Cloud,Unknown bird - small,0,30,0,Yes
Airplane,NEWARK LIBERTY INTL ARPT,< 1000 ft,B-727-200,2 to 10,6,8/20/00 0:00,No damage,3,AMERICAN AIRLINES,New Jersey,Landing Roll,Small,Some Cloud,Rock pigeon,0,0,0,No
Airplane,PANAMA CITY - BAY COUNTY INTL,< 1000 ft,BE-400 BJET,2 to 10,8,8/21/00 0:00,No damage,2,BUSINESS,Florida,Climb,Small,Some Cloud,Mourning dove,0,40,0,No
Airplane,PALM BEACH INTL,< 1000 ft,BE-1900,2 to 10,6,8/21/00 0:00,No damage,2,BUSINESS,Florida,Take-off run,Small,Some Cloud,Unknown bird - small,0,0,0,No
